"Durchschnitt von RRT fuer 100 Pakete"
"7160.0","Nano_seconden"
"2022-07-16T19:21:11.016112","2022-07-16T19:21:11.015421","652000"
"2022-07-16T19:21:11.018418","2022-07-16T19:21:11.017533","859000"
"2022-07-16T19:21:13.858408","2022-07-16T19:21:13.857325","1048000"
"2022-07-16T19:21:13.860484","2022-07-16T19:21:13.859776","688000"
"2022-07-16T19:21:13.862569","2022-07-16T19:21:13.861710","838000"
"2022-07-16T19:21:13.864486","2022-07-16T19:21:13.863772","693000"
"2022-07-16T19:21:13.866166","2022-07-16T19:21:13.865574","575000"
"2022-07-16T19:21:13.867860","2022-07-16T19:21:13.867280","564000"
"2022-07-16T19:21:14.026620","2022-07-16T19:21:14.025735","861000"
"2022-07-16T19:21:14.028543","2022-07-16T19:21:14.027851","672000"
"2022-07-16T19:21:14.030696","2022-07-16T19:21:14.029693","983000"
"2022-07-16T19:21:14.032397","2022-07-16T19:21:14.031824","556000"
"2022-07-16T19:21:16.861127","2022-07-16T19:21:16.860407","700000"
"2022-07-16T19:21:16.863061","2022-07-16T19:21:16.862440","602000"
"2022-07-16T19:21:16.864808","2022-07-16T19:21:16.864126","661000"
"2022-07-16T19:21:16.866738","2022-07-16T19:21:16.865994","716000"
